stress-ng: info:  [88933] dispatching hogs: 64 dccp
stress-ng: fail:  [88957] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 89041 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89044 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89045 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89046 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89050 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89051 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89053 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89055 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89057 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89059 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89060 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89063 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89066 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89067 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89070 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89073 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89074 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89075 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89077 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: info:  [88933] unsuccessful run completed in 0.01s
stress-ng: info:  [88933] stressor       bogo ops real time  usr time  sys time   bogo ops/s     bogo ops/s CPU used per
stress-ng: info:  [88933]                           (secs)    (secs)    (secs)   (real time) (usr+sys time) instance (%)
stress-ng: info:  [88933] dccp                  0      0.00      0.00      0.00         0.00           0.00         0.00
stress-ng: info:  [88933] dccp               0.00 messages per sec (average per stressor)
